"filename", "language", "Python", "comment", "blank", "total"
"/Users/prasann/Projects/knox-chat/tests/helper.py", "Python", 288, 11, 44, 343
"/Users/prasann/Projects/knox-chat/tests/helper_test.py", "Python", 41, 16, 14, 71
"/Users/prasann/Projects/knox-chat/tests/test.py", "Python", 43, 5, 12, 60
"Total", "-", 372, 32, 70, 474
